id,question,answer,issue_id
27522,"Please provide the make, model and license plate number of the vehicle, if known. ","it’s different vehicles every day",4829199
27517,"What is the nature of the issue?  ","None of the above (see below)",4832598
27518,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Large banner hanging off pedestrian bridge",4832598
27519,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4832598
27514,"What is the nature of the issue?  ",Speeding,4834999
27515,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Speeding is occuring along with kids playing on a basketball hoop in the middle of the street",4834999
27516,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4834999
27511,"What is the nature of the issue?  ","None of the above (see below)",4839878
27512,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","There has been drag racing occurring on Schaefer Highway for the past few weeks and hasn't let up here in several weeks. The racing has been very noisy and doesn't let up until 3-4 in the morning.",4839878
27513,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4839878
27508,"What is the nature of the issue?  ","None of the above (see below)",4839907
27509,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","There has been drag racing occurring on Schaefer Highway for the past several weeks and hasn't let up. Racing is often very loud and doesn't end until 3 or 4 am. I am wondering if this issue can be resolved quickly.",4839907
27510,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4839907
27505,"What is the nature of the issue?  ",Speeding,4840785
27506,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","we’re also just three blocks east of a schools so speeding in this area shouldn’t be tolerated. ideally the city would provide us with a “slow. kids playing” sign.",4840785
27507,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4840785
27502,"What is the nature of the issue?  ","None of the above (see below)",4850034
27503,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Parking on street corners",4850034
27504,"Please provide the make, model and license plate number of the vehicle, if known. ","More than 6 cars",4850034
27499,"What is the nature of the issue?  ",Speeding,4850796
27500,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Excessive speeding on this block",4850796
27501,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4850796
27496,"What is the nature of the issue?  ","None of the above (see below)",4857025
27497,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Parking cones",4857025
27498,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4857025
27493,"What is the nature of the issue?  ","None of the above (see below)",4857972
27494,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Drag Racing on Schaefer Highway",4857972
27495,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4857972
27490,"What is the nature of the issue?  ","Improper passing",4883729
27491,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4883729
27492,"Please provide the make, model and license plate number of the vehicle, if known. ","White Chevrolet Volt #DKJ7774",4883729
27487,"What is the nature of the issue?  ","None of the above (see below)",4884014
27488,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Cars are parking in the driveway at night and soliciting prostitutes. Used condoms and needles continue to be discarded throughout the area. Is it possible to block off the driveway entrance with a boulder to prevent any further illegal activity? PLEASE HELP!!!!",4884014
27489,"Please provide the make, model and license plate number of the vehicle, if known. ","Too many to mention.",4884014
27484,"What is the nature of the issue?  ","Disregarding traffic control device",4884628
27485,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4884628
27486,"Please provide the make, model and license plate number of the vehicle, if known. ","Blue Chevrolet Impala #BJF766",4884628
27481,"What is the nature of the issue?  ",Speeding,4885125
27482,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4885125
27483,"Please provide the make, model and license plate number of the vehicle, if known. ","The Red Jeep is always going to fast to get tha plate number. but the car and driver live dow",4885125
27478,"What is the nature of the issue?  ","None of the above (see below)",4887826
27479,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","school cross walks for children needed",4887826
27480,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4887826
27475,"What is the nature of the issue?  ","Disregarding traffic control device",4887886
27476,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Ever since the Mike Ilitch School of Business opened, people are parking everywhere except in designated parking areas.  Along with cars illegally parked on Temple St, the drop off location for the Wayne State Shuttle busses is also in the same spot (Temple between Park and Woodward).  With cars parked on the side of Temple and busses sitting on Temple dropping people off and picking people up, it makes it impossible to get through.  Why isn’t parking being enforced outside of Ilitch owned properties??  They own and operate all the parking structures in the area and they should be utilizing one of the parking garages for the school of business.",4887886
27477,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4887886
27472,"What is the nature of the issue?  ","None of the above (see below)",4887949
27473,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","group of people blocking street and loud music and drinking",4887949
27474,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4887949
27469,"What is the nature of the issue?  ",Speeding,4892635
27470,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4892635
27471,"Please provide the make, model and license plate number of the vehicle, if known. ","To many different vehicles",4892635
27466,"What is the nature of the issue?  ","Improper passing",4892745
27467,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4892745
27468,"Please provide the make, model and license plate number of the vehicle, if known. ","Gray Saturn Aura Mich plate #DSD5027",4892745
27463,"What is the nature of the issue?  ","Improper passing",4892759
27464,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4892759
27465,"Please provide the make, model and license plate number of the vehicle, if known. ","Chevrolet Equinox HIN7577",4892759
27460,"What is the nature of the issue?  ","Truck driving on restricted street",4900098
27461,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","photo taken of one of the trucks. the other three are identical in design.",4900098
27462,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4900098
27457,"What is the nature of the issue?  ","Car traveling in bike lane",4901410
27458,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","driving in bike lane on Cass Ave",4901410
27459,"Please provide the make, model and license plate number of the vehicle, if known. ","BA84272 company-Brilar black and white truck",4901410
27454,"What is the nature of the issue?  ",Speeding,4904684
27455,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4904684
27456,"Please provide the make, model and license plate number of the vehicle, if known. ","White Dodge Durango, Blue Dodge Challenge, Gray Dodge Charger",4904684
27451,"What is the nature of the issue?  ","Stop sign violation",4907354
27452,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Speed Bumps must be installed on Puritan and Ashton Road. Citizens speed through the four way stop signs at high speeds causing multiple accidents per month. Residents are annoyed by the amount of yelling that occurs from individuals that are running through the light and yelling at other drivers.",4907354
27453,"Please provide the make, model and license plate number of the vehicle, if known. ","Multiple vehicles run the stop sign per day",4907354
27448,"What is the nature of the issue?  ","Car traveling in bike lane",4910732
27449,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4910732
27450,"Please provide the make, model and license plate number of the vehicle, if known. ","CGC 1440 green mini van",4910732
27445,"What is the nature of the issue?  ","Car traveling in bike lane",4910743
27446,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4910743
27447,"Please provide the make, model and license plate number of the vehicle, if known. ","DPN 8184",4910743
27442,"What is the nature of the issue?  ","None of the above (see below)",4911606
27443,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","the alley is blocked constantly! The delivery trucks for CVS are forced to back out of the alley into Gladstonbury!",4911606
27444,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4911606
27439,"What is the nature of the issue?  ","None of the above (see below)",4913315
27440,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4913315
27441,"Please provide the make, model and license plate number of the vehicle, if known. ","An eight minute ride to a funeral took over 20 minutes because traffic officers blocked Puritan at Fenkell (a main thoroughfare) for bicycles. I was stopped at a major intersection for 20 minutes!!!  I had to wait through at least 8 green lights as these cycles leisurely strolled!  Presumably they did not have anywhere pressing to be and to totally disregard motorists is unacceptable!",4913315
27436,"What is the nature of the issue?  ","Disregarding traffic control device",4913770
27437,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","car is running every red light on Davison",4913770
27438,"Please provide the make, model and license plate number of the vehicle, if known. ","black gmc terrain DCF7845",4913770
27433,"What is the nature of the issue?  ",Speeding,4922238
27434,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Sppeding in excess of 60 mph on residential street",4922238
27435,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4922238
27430,"What is the nature of the issue?  ","Disregarding traffic control device",4922680
27431,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","cars go very fast on Horatio Street and don't pay attention to the yield sign",4922680
27432,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4922680
27427,"What is the nature of the issue?  ","None of the above (see below)",4927673
27428,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Vehicles blocking sidewalk",4927673
27429,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4927673
27424,"What is the nature of the issue?  ",Speeding,4928045
27425,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Speeding in community is a problem",4928045
27426,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4928045
27421,"What is the nature of the issue?  ",Speeding,4939583
27422,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4939583
27423,"Please provide the make, model and license plate number of the vehicle, if known. ","black car",4939583
27417,"What is the nature of the issue?  ","None of the above (see below)",4942765
27418,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","panhandling. Selling items - impeding traffic. Becoming a nuisance to drivers and a danger to people nearby.",4942765
27419,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Most morning 10am-noon. selling on weekends 1pm-5pm",4942765
27420,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4942765
27413,"What is the nature of the issue?  ","None of the above (see below)",4948848
27414,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","disregarding neighbors",4948848
27415,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","all day and evening as well",4948848
27416,"Please provide the make, model and license plate number of the vehicle, if known. ","several different vehicles.",4948848
27409,"What is the nature of the issue?  ",Speeding,4960121
27410,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Speeding on Livernois NB between Lyndon and Fenkell",4960121
27411,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Friday at 10:00AM",4960121
27412,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4960121
27405,"What is the nature of the issue?  ","None of the above (see below)",4961913
27406,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","illegal parking",4961913
27407,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Every night cars are parked here. Zone is “No parking 3am-7am Any day”",4961913
27408,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4961913
27401,"What is the nature of the issue?  ","None of the above (see below)",4963866
27402,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","disrupting traffic flow. Selling at Grand River and NB Southfield Service Drive.",4963866
27403,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","now. usually weekends and early evenings.",4963866
27404,"Please provide the make, model and license plate number of the vehicle, if known. ",none,4963866
27397,"What is the nature of the issue?  ","Stop sign violation",4967180
27398,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4967180
27399,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","all day, every day. I have some video.",4967180
27400,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4967180
27393,"What is the nature of the issue?  ","Truck driving on restricted street",4976248
27394,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","75 foot long semi truck and trailer on residential street that isn’t not paved tearing up ruining the street",4976248
27395,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","It was just the weekends late Friday night until early Monday morning. However now it is anytime of the day or night seven days a week. No set schedule",4976248
27396,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4976248
27389,"What is the nature of the issue?  ","Truck driving on restricted street",4976722
27390,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4976722
27391,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Oct 3, 2018 @ 1250",4976722
27392,"Please provide the make, model and license plate number of the vehicle, if known. ","see above",4976722
27385,"What is the nature of the issue?  ","None of the above (see below)",4993525
27386,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","illegal parking in residential area",4993525
27387,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","2+ weeks, Willis between Trumbull and Commonwealth",4993525
27388,"Please provide the make, model and license plate number of the vehicle, if known. ","license plate: MI AA99948, Motor City Trucking, Detroit MI",4993525
27381,"What is the nature of the issue?  ","None of the above (see below)",4995036
27382,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4995036
27383,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.",everyday,4995036
27384,"Please provide the make, model and license plate number of the vehicle, if known. ","it.varies many vehicles parked there",4995036
27377,"What is the nature of the issue?  ",Speeding,5002081
27378,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5002081
27379,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","all day and night",5002081
27380,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5002081
27373,"What is the nature of the issue?  ","Improper passing",5002883
27374,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5002883
27375,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","All the time",5002883
27376,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5002883
27369,"What is the nature of the issue?  ","Truck driving on restricted street",5003117
27370,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5003117
27371,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","last week a semi w trailer was parked same place",5003117
27372,"Please provide the make, model and license plate number of the vehicle, if known. ","white F350 Plate BB 62622",5003117
27365,"What is the nature of the issue?  ","Stop sign violation",5003795
27366,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5003795
27367,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","all days, all times.",5003795
27368,"Please provide the make, model and license plate number of the vehicle, if known. ","White, maroon, and red challengers and chargers.",5003795
27360,"What is the issue with the Fire Hydrant?",Other,5017521
27361,"If ""Other"", select a specific reason.","No Answer Given",5017521
27362,"What is the nearest address to the hydrant, or the street name?",cass,5017521
27363,"1st Street:","No Answer Given",5017521
27364,"2nd Street:","No Answer Given",5017521
27356,"What is the nature of the issue?  ","None of the above (see below)",5019826
27357,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5019826
27358,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","tonight, and a couple weeks ago",5019826
27359,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5019826
27352,"What is the nature of the issue?  ","None of the above (see below)",5022471
27353,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Bus Stop Hazard",5022471
27354,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Week days during business hours and heavy pedestrian walking areas",5022471
27355,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5022471
27348,"What is the nature of the issue?  ","None of the above (see below)",5022790
27349,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","this truck parks with their hazards on several times a week to unload at Starbucks and caused significant amount of traffic",5022790
27350,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","11/15/2018 5-6pm and several other days",5022790
27351,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5022790
27344,"What is the nature of the issue?  ","None of the above (see below)",5023672
27345,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","neighbors parking on lawn",5023672
27346,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","everyday afternoon/ evening/night",5023672
27347,"Please provide the make, model and license plate number of the vehicle, if known. ","green ford SUV, white,sporty car and red/black small vehicle as in photo",5023672
27340,"What is the nature of the issue?  ","Truck driving on restricted street",5030378
27341,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5030378
27342,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Tuesdays ~ noon",5030378
27343,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5030378
27336,"What is the nature of the issue?  ",Speeding,5033627
27337,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5033627
27338,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.",daily,5033627
27339,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5033627
27332,"What is the nature of the issue?  ",Speeding,5035048
27333,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","people that live at 4011 Gilbert always drive down the one way and park on top of grass",5035048
27334,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","daily early morning school rush",5035048
27335,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5035048
27328,"What is the nature of the issue?  ","None of the above (see below)",5035401
27329,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","why is this intersection blocked without notice or explanation",5035401
27330,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","7:30 thurs night",5035401
27331,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5035401
27324,"What is the nature of the issue?  ",Speeding,5038364
27325,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5038364
27326,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","daily from 7am -3pm",5038364
27327,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5038364
27320,"What is the nature of the issue?  ","None of the above (see below)",5038516
27321,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","a large concrete block is preventing ADA access at the crosswalk",5038516
27322,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","happening now, 24/7",5038516
27323,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5038516
27316,"What is the nature of the issue?  ","None of the above (see below)",5043543
27317,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","semi truck improperly parked causing safety issues",5043543
27318,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","different times for different periods of time. has currently been there the last 5 days and is there now.",5043543
27319,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5043543
27312,"What is the nature of the issue?  ","None of the above (see below)",5044219
27313,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","speed limit sign missing on Hayes, between 8 mile & State Fair",5044219
27314,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","All the time",5044219
27315,"Please provide the make, model and license plate number of the vehicle, if known. ","traffic sign missing",5044219
27308,"What is the nature of the issue?  ","None of the above (see below)",5051539
27309,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Noise Control",5051539
27310,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","evening and early morning",5051539
27311,"Please provide the make, model and license plate number of the vehicle, if known. ","Red vehicle, big wheels",5051539
27304,"What is the nature of the issue?  ","None of the above (see below)",5053543
27305,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","abandoned construction site blocking lanes",5053543
27306,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.",24/7,5053543
27307,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5053543
27300,"What is the nature of the issue?  ","None of the above (see below)",5055903
27301,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","An abandoned construction project is blocking lanes. Workers have not been there in weeks, it appears they just abandoned the project but there barriers are still taking up lanes on the street.",5055903
27302,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.",24/7,5055903
27303,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5055903
27296,"What is the nature of the issue?  ","None of the above (see below)",5056224
27297,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","similar reports submitted and addressed at this location several times in the past.   feel feee to call if you need greater detail.",5056224
27298,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","they are using the land as a lot for cars many that stay there for days and weeks",5056224
27299,"Please provide the make, model and license plate number of the vehicle, if known. ","see picture.",5056224
27292,"What is the nature of the issue?  ",Speeding,5056330
27293,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5056330
27294,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","excessive semi truck traffic during elementary school hours.",5056330
27295,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5056330
27288,"What is the nature of the issue?  ","None of the above (see below)",5058767
27289,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Illegal parking on the corner of eastbound Michigan Ave and Apple St by patrons of La Carreta Market. Cars are parked into the intersection of the streets making it incredibly unsafe to turn onto Michigan Ave in either direction.",5058767
27290,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.",Daily,5058767
27291,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5058767
27284,"What is the nature of the issue?  ",Speeding,5059691
27285,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","There are no speed limit signs or warning signs and there is no a school safe zone signs.",5059691
27286,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","daily especially early morning between 4 and 6 am and then also during timesof drop off and pick up of students.",5059691
27287,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5059691
27280,"What is the nature of the issue?  ",Speeding,5059906
27281,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5059906
27282,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","7am and 3pm- 5pm",5059906
27283,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5059906
27276,"What is the nature of the issue?  ","None of the above (see below)",5060095
27277,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5060095
27278,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.",daily,5060095
27279,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5060095
27272,"What is the nature of the issue?  ","None of the above (see below)",5063080
27273,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Dumpster blocking street. It has been there for weeks.",5063080
27274,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Dumpster blocking street. It has been there for weeks.",5063080
27275,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5063080
27268,"What is the nature of the issue?  ","None of the above (see below)",5066717
27269,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Improper parking. Parking under no parking sign",5066717
27270,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","Sunday and Monday 10-28-18 and 10-29-18.",5066717
27271,"Please provide the make, model and license plate number of the vehicle, if known. ","Green 4-door Ford (Fusion?) LP #6LTA74",5066717
27264,"What is the nature of the issue?  ",Speeding,5067829
27265,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Our street is heavily occupied by ""young people""  who disregard safety, traffic signs even other drivers.  Between 7 & 8 Mile, asbury park has become a drag strip for these young adults and their friends.  This is one of the largely streets for a residential area,  it may even be designated as the ""emergency route"".  The racing is more during warmer months and certainly on weekends.  But on any given day,  traffic violations from speeding to disregarding  traffic signs can be observed.  Speed bumps would help TREMENDOUSLY. I have noticed many residents put signs "" CHILDREN PLAY HERE"" . I think many neighbors are afraid to address for fear of retaliation.  Please consider speed bumps for this stretch of the street.  It does not seem to be a problem, south of 7 mile.",5067829
27266,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","daily,  especially weekends,  various times of the day - mostly daylight hours.",5067829
27267,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5067829
27260,"What is the nature of the issue?  ","None of the above (see below)",5082785
27261,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",5082785
27262,"When are the violations occurring?  Please provide date, days of the week and/or times when violations have been seen.","all year around",5082785
27263,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",5082785
27256,"What is the nature of the issue?  ","Truck driving on restricted street",5085585
27257,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","repeated violation",5085585
